Q1: Age group (Ordinal);Q2: Gender (Nominal);Q3: Country (Nominal);Q4: Organisation size (employees) (Ordinal);Q5: Industry (Nominal);Q6: Years of active investment experience (Ratio);Q7: Investor acquisition events attended (past 2 yrs) (Ratio);Q8: Typical single deal size considered (Ratio);Q9: Follow-up meetings planned from today's event (Ratio);Q10: Overall satisfaction with this event (Ordinal);Q11: Relevance of deal flow to investment strategy (Ordinal);Q12: Quality of networking opportunities (Ordinal);Q13: Likelihood to recommend this event to a peer (Ordinal);Q14: Preferred format for future events (Nominal);Q15: Additional investors from your network you might invite (Ratio);Q16: How would you describe the atmosphere of this event? (Text);Q17: How do you assess the probability of successful acquisitions resulting from this event? (Text);Q18: What would motivate you to participate in a future edition of this event? (Text)
50 - 59;Female;Netherlands;1,000+ (enterprise);Financial Services;3;1;1400;1;3;3;2;3;Fully virtual;0;The atmosphere was mixed. Morning sessions felt energetic but the afternoon became noticeably quieter.;Moderate probability overall. A couple of companies are interesting but require further due diligence before I can assess seriously.;Possibly, depending on the presenting companies. More transparency about the pipeline before registration would help me decide.
30 - 39;Female;Germany;50 - 249 (medium);Energy / Cleantech;25;5;400;3;4;3;4;2;In-person only;1;The atmosphere was mixed. Morning sessions felt energetic but the afternoon became noticeably quieter.;Moderate probability overall. A couple of companies are interesting but require further due diligence before I can assess seriously.;Possibly, depending on the presenting companies. More transparency about the pipeline before registration would help me decide.
50 - 59;Female;Germany;250 - 999 (large);Manufacturing / Industry;18;5;700;3;5;3;4;4;In-person only;0;Excellent energy throughout the day. The organisers clearly curated the guest list carefully, which made every interaction feel purposeful.;I left with a strong sense that at least one deal will close. The matching between investor focus areas and company profiles was well done.;A more focused industry track and pre-scheduled one-on-one meetings would make me return. The overall format is already strong.
60 or older;Male;United States;250 - 999 (large);Financial Services;14;4;1250;4;4;3;5;4;Hybrid (in-person + virtual);1;Warm and collaborative spirit throughout. I felt comfortable approaching anyone, which is a sign of excellent event design.;Probability looks solid. One deal stood out as near investment-ready and I am already discussing it with my partners.;A more focused industry track and pre-scheduled one-on-one meetings would make me return. The overall format is already strong.
30 - 39;Female;Germany;1 - 9 (micro);Real Estate;23;3;1050;1;3;1;2;2;In-person only;0;The atmosphere lacked direction. Without a clear facilitation structure the networking time quickly became unproductive.;Low probability from my perspective. Several companies were still at ideation stage, which is too early for our fund mandate.;I am unlikely to return unless the organisers address the poor time management and improve the quality of the briefing materials.
40 - 49;Male;Switzerland;50 - 249 (medium);Energy / Cleantech;9;4;1150;1;3;4;5;4;Hybrid (in-person + virtual);0;Decent overall. The venue was suitable and the atmosphere was professional, though perhaps a bit formal for my taste.;Mixed impressions. Some deals could progress if the companies address specific concerns I raised during our conversations.;A clearer breakdown of attending companies shared in advance would help me prepare and justify the time investment.
50 - 59;Male;Other EU;1 - 9 (micro);Financial Services;1;4;650;4;2;3;3;4;No preference;4;A functional and professional setting. The atmosphere was neutral — neither especially inspiring nor off-putting.;It is too early to say. I had some promising conversations but need to review the materials shared before making a judgment.;A clearer breakdown of attending companies shared in advance would help me prepare and justify the time investment.
50 - 59;Female;Other EU;10 - 49 (small);Healthcare / Life Sciences;17;0;1500;1;2;4;3;3;No preference;3;The atmosphere was mixed. Morning sessions felt energetic but the afternoon became noticeably quieter.;There is potential but also significant uncertainty. I would estimate a 30 to 40 percent chance of one deal moving forward.;If the topic areas align with our fund's focus in the next cycle I would consider attending again.
40 - 49;Female;Netherlands;10 - 49 (small);Consumer Goods;9;5;750;2;5;3;4;3;In-person only;5;Inspiring and dynamic. The mix of experienced investors and ambitious founders created a productive tension that I found energising.;Optimistic about outcomes. The quality of the deal flow was high and I had two conversations that could realistically lead to term sheets within the quarter.;A more focused industry track and pre-scheduled one-on-one meetings would make me return. The overall format is already strong.
30 - 39;Male;Switzerland;1 - 9 (micro);Real Estate;20;1;450;4;4;5;4;5;In-person only;0;Buzzing with energy from start to finish. The format encouraged real dialogue rather than superficial small talk.;Optimistic about outcomes. The quality of the deal flow was high and I had two conversations that could realistically lead to term sheets within the quarter.;I would return without hesitation. The quality of participants and the event structure made it one of the better investor events I have attended this year.
30 - 39;Male;United Kingdom;50 - 249 (medium);Technology / Software;11;3;1050;1;2;3;3;3;Fully virtual;1;Rather underwhelming. The venue was too large for the number of participants, which made the event feel sparse and impersonal.;Most companies were not investment-ready. Without more developed metrics and clearer go-to-market plans, deals are unlikely to progress quickly.;Better pre-event communication and a clearer agenda would help. I felt underprepared for several of the sessions.
50 - 59;Male;United Kingdom;250 - 999 (large);Financial Services;11;5;850;2;4;4;4;3;In-person only;2;Excellent energy throughout the day. The organisers clearly curated the guest list carefully, which made every interaction feel purposeful.;Probability looks solid. One deal stood out as near investment-ready and I am already discussing it with my partners.;The event is already compelling. A slightly longer networking window and better materials from companies would make it unmissable.
30 - 39;Male;Netherlands;50 - 249 (medium);Energy / Cleantech;14;4;1350;1;4;4;4;3;Hybrid (in-person + virtual);2;Decent overall. The venue was suitable and the atmosphere was professional, though perhaps a bit formal for my taste.;Reasonable but not exceptional deal flow. One or two companies merit a follow-up but are not yet at the stage we prefer.;I am open to returning. Better on-site facilitation and a networking app would help maximise the value of the event.
50 - 59;Male;Germany;250 - 999 (large);Other;5;5;600;3;4;3;4;4;In-person only;4;The event had a professional yet relaxed ambiance. I appreciated the balance between structured sessions and open networking time.;I see a strong probability of at least two deals progressing from today. Several companies matched our thesis precisely and follow-up calls are already scheduled.;The event is already compelling. A slightly longer networking window and better materials from companies would make it unmissable.
30 - 39;Male;Germany;10 - 49 (small);Financial Services;16;4;1350;2;3;3;5;3;In-person only;1;The atmosphere was mixed. Morning sessions felt energetic but the afternoon became noticeably quieter.;Mixed impressions. Some deals could progress if the companies address specific concerns I raised during our conversations.;I am open to returning. Better on-site facilitation and a networking app would help maximise the value of the event.
60 or older;Other;France;50 - 249 (medium);Manufacturing / Industry;11;4;650;2;3;3;3;4;Hybrid (in-person + virtual);3;Reasonably well-organised with a standard conference atmosphere. Some sessions were more engaging than others.;It is too early to say. I had some promising conversations but need to review the materials shared before making a judgment.;I am open to returning. Better on-site facilitation and a networking app would help maximise the value of the event.
40 - 49;Male;United Kingdom;250 - 999 (large);Technology / Software;0;5;350;0;3;4;3;3;Hybrid (in-person + virtual);0;Decent overall. The venue was suitable and the atmosphere was professional, though perhaps a bit formal for my taste.;Reasonable but not exceptional deal flow. One or two companies merit a follow-up but are not yet at the stage we prefer.;I am open to returning. Better on-site facilitation and a networking app would help maximise the value of the event.
30 - 39;Male;United Kingdom;250 - 999 (large);Financial Services;3;5;700;2;4;3;2;3;No preference;2;Reasonably well-organised with a standard conference atmosphere. Some sessions were more engaging than others.;It is too early to say. I had some promising conversations but need to review the materials shared before making a judgment.;A clearer breakdown of attending companies shared in advance would help me prepare and justify the time investment.
30 - 39;Female;Other non-EU;10 - 49 (small);Other;13;3;50;0;1;1;3;2;Hybrid (in-person + virtual);0;Rather underwhelming. The venue was too large for the number of participants, which made the event feel sparse and impersonal.;I see limited probability of a successful acquisition. The companies presented were either outside our investment stage or had unrealistic valuations.;For me to return, the event would need to be shorter and more focused. The current format covers too many industries superficially.
30 - 39;Male;Germany;250 - 999 (large);Manufacturing / Industry;17;5;250;1;2;1;2;2;Hybrid (in-person + virtual);0;The energy was low. Many attendees seemed disengaged during the presentations and the networking breaks were too short.;Disappointed by the quality of the pipeline. Many presentations lacked the financial rigour we require before entering any serious dialogue.;The event would need to attract more senior decision-makers. Too many attendees were junior representatives without deal authority.
50 - 59;Female;Switzerland;1,000+ (enterprise);Manufacturing / Industry;12;7;700;3;5;4;3;4;Hybrid (in-person + virtual);6;Very positive atmosphere. There was a genuine sense of mutual interest among attendees, which is rare at events of this scale.;Very promising. One company in particular aligned perfectly with our portfolio strategy and I intend to arrange a deeper due diligence meeting next week.;I would come back for the calibre of attendees alone. Adding a pre-event matchmaking tool would make the experience even more valuable.
50 - 59;Prefer not to say;United States;50 - 249 (medium);Technology / Software;7;7;1050;2;3;4;4;2;No preference;1;The atmosphere was mixed. Morning sessions felt energetic but the afternoon became noticeably quieter.;Reasonable but not exceptional deal flow. One or two companies merit a follow-up but are not yet at the stage we prefer.;A clearer breakdown of attending companies shared in advance would help me prepare and justify the time investment.
40 - 49;Male;Other non-EU;1,000+ (enterprise);Manufacturing / Industry;4;6;1300;2;4;3;4;4;Fully virtual;6;The atmosphere was vibrant and welcoming. Conversations flowed naturally and the venue created an ideal setting for meaningful exchanges.;Good prospects for at least one acquisition. The level of preparation from the founders was impressive and valuations seemed reasonable.;If the event maintained its focus on mid-market opportunities and expanded the panel discussions, I would certainly attend again.
60 or older;Male;Other EU;50 - 249 (medium);Financial Services;8;7;1100;1;4;3;5;4;No preference;4;Very positive atmosphere. There was a genuine sense of mutual interest among attendees, which is rare at events of this scale.;Probability looks solid. One deal stood out as near investment-ready and I am already discussing it with my partners.;The event is already compelling. A slightly longer networking window and better materials from companies would make it unmissable.
50 - 59;Non-binary / gender diverse;United Kingdom;50 - 249 (medium);Financial Services;22;4;50;2;4;1;1;2;No preference;1;The atmosphere felt somewhat stiff and overly formal. It was difficult to break the ice with other attendees.;Low probability from my perspective. Several companies were still at ideation stage, which is too early for our fund mandate.;I would need to see significant improvements in deal flow quality and tighter vetting of presenting companies before considering a return.
40 - 49;Male;United Kingdom;1 - 9 (micro);Consumer Goods;3;5;1100;5;5;5;5;4;Hybrid (in-person + virtual);4;The event had a professional yet relaxed ambiance. I appreciated the balance between structured sessions and open networking time.;Probability looks solid. One deal stood out as near investment-ready and I am already discussing it with my partners.;I would come back for the calibre of attendees alone. Adding a pre-event matchmaking tool would make the experience even more valuable.
30 - 39;Male;United Kingdom;50 - 249 (medium);Consumer Goods;7;4;1350;2;3;3;3;3;No preference;1;Reasonably well-organised with a standard conference atmosphere. Some sessions were more engaging than others.;Moderate probability overall. A couple of companies are interesting but require further due diligence before I can assess seriously.;A clearer breakdown of attending companies shared in advance would help me prepare and justify the time investment.
40 - 49;Male;Other non-EU;10 - 49 (small);Technology / Software;9;1;850;3;5;3;4;4;Fully virtual;2;Warm and collaborative spirit throughout. I felt comfortable approaching anyone, which is a sign of excellent event design.;Good prospects for at least one acquisition. The level of preparation from the founders was impressive and valuations seemed reasonable.;I would come back for the calibre of attendees alone. Adding a pre-event matchmaking tool would make the experience even more valuable.
60 or older;Male;United Kingdom;10 - 49 (small);Technology / Software;16;4;50;2;3;4;2;5;Fully virtual;1;The atmosphere was mixed. Morning sessions felt energetic but the afternoon became noticeably quieter.;Moderate probability overall. A couple of companies are interesting but require further due diligence before I can assess seriously.;Possibly, depending on the presenting companies. More transparency about the pipeline before registration would help me decide.
30 - 39;Female;United States;10 - 49 (small);Real Estate;14;8;50;4;5;4;5;5;Hybrid (in-person + virtual);1;The event had a professional yet relaxed ambiance. I appreciated the balance between structured sessions and open networking time.;Optimistic about outcomes. The quality of the deal flow was high and I had two conversations that could realistically lead to term sheets within the quarter.;Very likely to return. If the organisers add a dedicated deep-dive track for specific sectors it would further increase the value.
40 - 49;Male;Germany;10 - 49 (small);Technology / Software;28;4;250;1;2;2;1;2;Hybrid (in-person + virtual);0;The venue was uncomfortable and overcrowded, which negatively affected the overall experience from the start.;I see limited probability of a successful acquisition. The companies presented were either outside our investment stage or had unrealistic valuations.;The event would need to attract more senior decision-makers. Too many attendees were junior representatives without deal authority.
40 - 49;Female;Germany;50 - 249 (medium);Other;18;4;450;1;2;3;2;2;In-person only;1;Rather underwhelming. The venue was too large for the number of participants, which made the event feel sparse and impersonal.;Disappointed by the quality of the pipeline. Many presentations lacked the financial rigour we require before entering any serious dialogue.;For me to return, the event would need to be shorter and more focused. The current format covers too many industries superficially.
30 - 39;Male;United Kingdom;10 - 49 (small);Manufacturing / Industry;7;1;1000;3;4;2;2;3;In-person only;1;The atmosphere was adequate for this type of event. Nothing particularly stood out but the basics were covered.;Moderate probability overall. A couple of companies are interesting but require further due diligence before I can assess seriously.;A clearer breakdown of attending companies shared in advance would help me prepare and justify the time investment.
40 - 49;Male;Germany;1,000+ (enterprise);Consumer Goods;21;5;500;3;4;5;4;4;Fully virtual;5;The event had a professional yet relaxed ambiance. I appreciated the balance between structured sessions and open networking time.;I see a strong probability of at least two deals progressing from today. Several companies matched our thesis precisely and follow-up calls are already scheduled.;A more focused industry track and pre-scheduled one-on-one meetings would make me return. The overall format is already strong.
30 - 39;Male;United Kingdom;1,000+ (enterprise);Consumer Goods;28;1;1100;1;3;1;4;3;No preference;1;Decent overall. The venue was suitable and the atmosphere was professional, though perhaps a bit formal for my taste.;Mixed impressions. Some deals could progress if the companies address specific concerns I raised during our conversations.;A clearer breakdown of attending companies shared in advance would help me prepare and justify the time investment.
30 - 39;Prefer not to say;Germany;1,000+ (enterprise);Technology / Software;12;5;300;2;4;5;5;3;Hybrid (in-person + virtual);3;Inspiring and dynamic. The mix of experienced investors and ambitious founders created a productive tension that I found energising.;Optimistic about outcomes. The quality of the deal flow was high and I had two conversations that could realistically lead to term sheets within the quarter.;A more focused industry track and pre-scheduled one-on-one meetings would make me return. The overall format is already strong.
Under 30;Male;France;1 - 9 (micro);Other;4;4;700;3;4;4;4;4;In-person only;2;The event had a professional yet relaxed ambiance. I appreciated the balance between structured sessions and open networking time.;Very promising. One company in particular aligned perfectly with our portfolio strategy and I intend to arrange a deeper due diligence meeting next week.;A more focused industry track and pre-scheduled one-on-one meetings would make me return. The overall format is already strong.
30 - 39;Male;Netherlands;10 - 49 (small);Consumer Goods;11;4;750;1;4;3;3;3;Fully virtual;0;The atmosphere was mixed. Morning sessions felt energetic but the afternoon became noticeably quieter.;Reasonable but not exceptional deal flow. One or two companies merit a follow-up but are not yet at the stage we prefer.;I would return if a colleague recommended it and if the industries represented shifted more towards our current portfolio strategy.
30 - 39;Female;Other EU;250 - 999 (large);Technology / Software;16;4;1250;3;5;4;4;4;Fully virtual;2;Very positive atmosphere. There was a genuine sense of mutual interest among attendees, which is rare at events of this scale.;Probability looks solid. One deal stood out as near investment-ready and I am already discussing it with my partners.;If the event maintained its focus on mid-market opportunities and expanded the panel discussions, I would certainly attend again.
30 - 39;Female;France;250 - 999 (large);Real Estate;19;5;1000;2;2;3;3;3;No preference;2;A functional and professional setting. The atmosphere was neutral — neither especially inspiring nor off-putting.;Reasonable but not exceptional deal flow. One or two companies merit a follow-up but are not yet at the stage we prefer.;Possibly, depending on the presenting companies. More transparency about the pipeline before registration would help me decide.
60 or older;Female;United Kingdom;50 - 249 (medium);Consumer Goods;16;1;850;4;3;4;4;4;Fully virtual;5;The atmosphere was vibrant and welcoming. Conversations flowed naturally and the venue created an ideal setting for meaningful exchanges.;Good prospects for at least one acquisition. The level of preparation from the founders was impressive and valuations seemed reasonable.;I would return without hesitation. The quality of participants and the event structure made it one of the better investor events I have attended this year.
40 - 49;Female;Other EU;250 - 999 (large);Manufacturing / Industry;21;5;850;4;4;4;4;5;In-person only;2;The atmosphere exceeded my expectations. Well-organised, attentive staff and a high-calibre crowd made the day truly worthwhile.;Probability looks solid. One deal stood out as near investment-ready and I am already discussing it with my partners.;I would come back for the calibre of attendees alone. Adding a pre-event matchmaking tool would make the experience even more valuable.
30 - 39;Female;Switzerland;1,000+ (enterprise);Consumer Goods;9;6;750;2;2;3;2;2;Hybrid (in-person + virtual);2;The atmosphere lacked direction. Without a clear facilitation structure the networking time quickly became unproductive.;Unfortunately not very promising. The deal flow did not align well with our sector focus and the financials on most companies were not compelling.;I would need to see significant improvements in deal flow quality and tighter vetting of presenting companies before considering a return.
60 or older;Female;United States;10 - 49 (small);Manufacturing / Industry;21;5;1550;2;5;4;4;4;In-person only;4;Inspiring and dynamic. The mix of experienced investors and ambitious founders created a productive tension that I found energising.;Very promising. One company in particular aligned perfectly with our portfolio strategy and I intend to arrange a deeper due diligence meeting next week.;I would return without hesitation. The quality of participants and the event structure made it one of the better investor events I have attended this year.
40 - 49;Female;Other non-EU;1,000+ (enterprise);Consumer Goods;9;3;200;2;3;3;3;3;Fully virtual;1;The atmosphere was mixed. Morning sessions felt energetic but the afternoon became noticeably quieter.;Mixed impressions. Some deals could progress if the companies address specific concerns I raised during our conversations.;I would return if a colleague recommended it and if the industries represented shifted more towards our current portfolio strategy.
50 - 59;Male;Germany;1 - 9 (micro);Other;15;6;1200;1;4;3;2;3;Hybrid (in-person + virtual);2;Reasonably well-organised with a standard conference atmosphere. Some sessions were more engaging than others.;It is too early to say. I had some promising conversations but need to review the materials shared before making a judgment.;If the topic areas align with our fund's focus in the next cycle I would consider attending again.
30 - 39;Female;Switzerland;50 - 249 (medium);Healthcare / Life Sciences;0;5;300;2;5;5;5;4;Hybrid (in-person + virtual);2;Very positive atmosphere. There was a genuine sense of mutual interest among attendees, which is rare at events of this scale.;Higher probability than I initially expected. Three of the presenting companies were in sectors where we are actively deploying capital.;I would return without hesitation. The quality of participants and the event structure made it one of the better investor events I have attended this year.
40 - 49;Male;France;250 - 999 (large);Real Estate;10;4;450;5;3;4;3;5;In-person only;1;Reasonably well-organised with a standard conference atmosphere. Some sessions were more engaging than others.;Mixed impressions. Some deals could progress if the companies address specific concerns I raised during our conversations.;A clearer breakdown of attending companies shared in advance would help me prepare and justify the time investment.
30 - 39;Female;Other EU;1,000+ (enterprise);Other;13;8;950;1;3;2;2;2;No preference;0;Rather underwhelming. The venue was too large for the number of participants, which made the event feel sparse and impersonal.;Disappointed by the quality of the pipeline. Many presentations lacked the financial rigour we require before entering any serious dialogue.;I am unlikely to return unless the organisers address the poor time management and improve the quality of the briefing materials.
40 - 49;Female;Germany;10 - 49 (small);Financial Services;20;8;800;0;3;2;2;1;Hybrid (in-person + virtual);0;The event felt rushed and poorly paced. There was little opportunity to connect meaningfully with other participants.;Disappointed by the quality of the pipeline. Many presentations lacked the financial rigour we require before entering any serious dialogue.;I am unlikely to return unless the organisers address the poor time management and improve the quality of the briefing materials.
50 - 59;Female;Germany;1 - 9 (micro);Manufacturing / Industry;9;3;950;1;1;3;1;2;In-person only;0;I found the atmosphere a bit chaotic. The schedule ran late and the session transitions were poorly managed.;Disappointed by the quality of the pipeline. Many presentations lacked the financial rigour we require before entering any serious dialogue.;For me to return, the event would need to be shorter and more focused. The current format covers too many industries superficially.
30 - 39;Female;United Kingdom;1,000+ (enterprise);Real Estate;9;3;850;0;3;3;2;3;Hybrid (in-person + virtual);1;The atmosphere lacked direction. Without a clear facilitation structure the networking time quickly became unproductive.;Most companies were not investment-ready. Without more developed metrics and clearer go-to-market plans, deals are unlikely to progress quickly.;Better pre-event communication and a clearer agenda would help. I felt underprepared for several of the sessions.
30 - 39;Male;Netherlands;10 - 49 (small);Technology / Software;20;5;800;3;4;5;5;4;Fully virtual;3;The atmosphere was vibrant and welcoming. Conversations flowed naturally and the venue created an ideal setting for meaningful exchanges.;Optimistic about outcomes. The quality of the deal flow was high and I had two conversations that could realistically lead to term sheets within the quarter.;Continuing with the same high quality of curated companies and investors would ensure my participation in the next edition.
30 - 39;Male;Germany;1,000+ (enterprise);Healthcare / Life Sciences;20;5;800;2;5;4;2;3;Hybrid (in-person + virtual);3;The atmosphere exceeded my expectations. Well-organised, attentive staff and a high-calibre crowd made the day truly worthwhile.;Optimistic about outcomes. The quality of the deal flow was high and I had two conversations that could realistically lead to term sheets within the quarter.;I would come back for the calibre of attendees alone. Adding a pre-event matchmaking tool would make the experience even more valuable.
50 - 59;Male;Other EU;50 - 249 (medium);Healthcare / Life Sciences;12;4;900;0;2;2;3;3;In-person only;0;I found the atmosphere a bit chaotic. The schedule ran late and the session transitions were poorly managed.;Unfortunately not very promising. The deal flow did not align well with our sector focus and the financials on most companies were not compelling.;I am unlikely to return unless the organisers address the poor time management and improve the quality of the briefing materials.
50 - 59;Female;Netherlands;1,000+ (enterprise);Healthcare / Life Sciences;0;7;700;0;3;3;3;3;No preference;3;The atmosphere was adequate for this type of event. Nothing particularly stood out but the basics were covered.;There is potential but also significant uncertainty. I would estimate a 30 to 40 percent chance of one deal moving forward.;A clearer breakdown of attending companies shared in advance would help me prepare and justify the time investment.
30 - 39;Male;Germany;10 - 49 (small);Manufacturing / Industry;0;4;1250;4;1;2;3;3;In-person only;0;A functional and professional setting. The atmosphere was neutral — neither especially inspiring nor off-putting.;Moderate probability overall. A couple of companies are interesting but require further due diligence before I can assess seriously.;I would return if a colleague recommended it and if the industries represented shifted more towards our current portfolio strategy.
40 - 49;Male;Germany;250 - 999 (large);Healthcare / Life Sciences;27;10;650;4;3;5;3;5;Hybrid (in-person + virtual);3;Inspiring and dynamic. The mix of experienced investors and ambitious founders created a productive tension that I found energising.;Higher probability than I initially expected. Three of the presenting companies were in sectors where we are actively deploying capital.;If the event maintained its focus on mid-market opportunities and expanded the panel discussions, I would certainly attend again.
50 - 59;Prefer not to say;Germany;50 - 249 (medium);Consumer Goods;18;3;550;1;3;5;3;2;Hybrid (in-person + virtual);1;Decent overall. The venue was suitable and the atmosphere was professional, though perhaps a bit formal for my taste.;Moderate probability overall. A couple of companies are interesting but require further due diligence before I can assess seriously.;A clearer breakdown of attending companies shared in advance would help me prepare and justify the time investment.
50 - 59;Female;Germany;50 - 249 (medium);Technology / Software;7;2;1050;1;2;1;1;2;Fully virtual;0;The atmosphere lacked direction. Without a clear facilitation structure the networking time quickly became unproductive.;Most companies were not investment-ready. Without more developed metrics and clearer go-to-market plans, deals are unlikely to progress quickly.;Better pre-event communication and a clearer agenda would help. I felt underprepared for several of the sessions.
30 - 39;Male;United Kingdom;1,000+ (enterprise);Healthcare / Life Sciences;10;2;750;1;2;3;1;2;In-person only;0;The event felt rushed and poorly paced. There was little opportunity to connect meaningfully with other participants.;Most companies were not investment-ready. Without more developed metrics and clearer go-to-market plans, deals are unlikely to progress quickly.;Better pre-event communication and a clearer agenda would help. I felt underprepared for several of the sessions.
60 or older;Female;Germany;1 - 9 (micro);Real Estate;8;3;900;2;3;3;3;4;Hybrid (in-person + virtual);1;A functional and professional setting. The atmosphere was neutral — neither especially inspiring nor off-putting.;Mixed impressions. Some deals could progress if the companies address specific concerns I raised during our conversations.;A clearer breakdown of attending companies shared in advance would help me prepare and justify the time investment.
50 - 59;Female;Other non-EU;50 - 249 (medium);Real Estate;15;6;350;2;3;3;3;2;Hybrid (in-person + virtual);1;Decent overall. The venue was suitable and the atmosphere was professional, though perhaps a bit formal for my taste.;It is too early to say. I had some promising conversations but need to review the materials shared before making a judgment.;If the topic areas align with our fund's focus in the next cycle I would consider attending again.
50 - 59;Male;Germany;250 - 999 (large);Consumer Goods;13;4;50;2;3;5;2;2;Fully virtual;2;The atmosphere was mixed. Morning sessions felt energetic but the afternoon became noticeably quieter.;Mixed impressions. Some deals could progress if the companies address specific concerns I raised during our conversations.;I am open to returning. Better on-site facilitation and a networking app would help maximise the value of the event.
50 - 59;Other;Other non-EU;1,000+ (enterprise);Manufacturing / Industry;6;2;1400;4;5;5;4;3;In-person only;3;The atmosphere was vibrant and welcoming. Conversations flowed naturally and the venue created an ideal setting for meaningful exchanges.;Very promising. One company in particular aligned perfectly with our portfolio strategy and I intend to arrange a deeper due diligence meeting next week.;Very likely to return. If the organisers add a dedicated deep-dive track for specific sectors it would further increase the value.
40 - 49;Male;United Kingdom;250 - 999 (large);Technology / Software;16;0;750;3;4;4;3;5;No preference;3;Buzzing with energy from start to finish. The format encouraged real dialogue rather than superficial small talk.;Higher probability than I initially expected. Three of the presenting companies were in sectors where we are actively deploying capital.;Continuing with the same high quality of curated companies and investors would ensure my participation in the next edition.
30 - 39;Male;France;50 - 249 (medium);Consumer Goods;9;2;650;5;5;3;5;4;In-person only;2;Warm and collaborative spirit throughout. I felt comfortable approaching anyone, which is a sign of excellent event design.;I see a strong probability of at least two deals progressing from today. Several companies matched our thesis precisely and follow-up calls are already scheduled.;If the event maintained its focus on mid-market opportunities and expanded the panel discussions, I would certainly attend again.
50 - 59;Male;France;250 - 999 (large);Healthcare / Life Sciences;4;5;200;2;3;3;2;4;No preference;3;Reasonably well-organised with a standard conference atmosphere. Some sessions were more engaging than others.;There is potential but also significant uncertainty. I would estimate a 30 to 40 percent chance of one deal moving forward.;Possibly, depending on the presenting companies. More transparency about the pipeline before registration would help me decide.
60 or older;Male;Switzerland;50 - 249 (medium);Other;14;2;700;5;4;5;5;4;In-person only;4;The atmosphere was vibrant and welcoming. Conversations flowed naturally and the venue created an ideal setting for meaningful exchanges.;Optimistic about outcomes. The quality of the deal flow was high and I had two conversations that could realistically lead to term sheets within the quarter.;Very likely to return. If the organisers add a dedicated deep-dive track for specific sectors it would further increase the value.
40 - 49;Male;Other EU;50 - 249 (medium);Financial Services;11;10;450;2;5;4;4;4;Hybrid (in-person + virtual);0;A functional and professional setting. The atmosphere was neutral — neither especially inspiring nor off-putting.;There is potential but also significant uncertainty. I would estimate a 30 to 40 percent chance of one deal moving forward.;A clearer breakdown of attending companies shared in advance would help me prepare and justify the time investment.
40 - 49;Male;Germany;10 - 49 (small);Manufacturing / Industry;14;5;400;3;4;2;4;4;Hybrid (in-person + virtual);3;The atmosphere was vibrant and welcoming. Conversations flowed naturally and the venue created an ideal setting for meaningful exchanges.;I left with a strong sense that at least one deal will close. The matching between investor focus areas and company profiles was well done.;Very likely to return. If the organisers add a dedicated deep-dive track for specific sectors it would further increase the value.
40 - 49;Female;Netherlands;1,000+ (enterprise);Technology / Software;13;2;1200;3;4;3;2;3;In-person only;4;Decent overall. The venue was suitable and the atmosphere was professional, though perhaps a bit formal for my taste.;It is too early to say. I had some promising conversations but need to review the materials shared before making a judgment.;Possibly, depending on the presenting companies. More transparency about the pipeline before registration would help me decide.
50 - 59;Male;United Kingdom;1,000+ (enterprise);Manufacturing / Industry;6;2;1100;1;2;2;2;3;In-person only;0;I found the atmosphere a bit chaotic. The schedule ran late and the session transitions were poorly managed.;Disappointed by the quality of the pipeline. Many presentations lacked the financial rigour we require before entering any serious dialogue.;I would need to see significant improvements in deal flow quality and tighter vetting of presenting companies before considering a return.
40 - 49;Female;Germany;1,000+ (enterprise);Technology / Software;12;3;400;1;5;3;3;4;Hybrid (in-person + virtual);2;Decent overall. The venue was suitable and the atmosphere was professional, though perhaps a bit formal for my taste.;Moderate probability overall. A couple of companies are interesting but require further due diligence before I can assess seriously.;If the topic areas align with our fund's focus in the next cycle I would consider attending again.
60 or older;Other;United States;250 - 999 (large);Energy / Cleantech;18;7;1000;1;3;3;3;3;No preference;2;Reasonably well-organised with a standard conference atmosphere. Some sessions were more engaging than others.;It is too early to say. I had some promising conversations but need to review the materials shared before making a judgment.;A clearer breakdown of attending companies shared in advance would help me prepare and justify the time investment.
30 - 39;Male;Germany;10 - 49 (small);Technology / Software;15;7;1100;3;3;4;3;5;In-person only;2;Very positive atmosphere. There was a genuine sense of mutual interest among attendees, which is rare at events of this scale.;I left with a strong sense that at least one deal will close. The matching between investor focus areas and company profiles was well done.;Very likely to return. If the organisers add a dedicated deep-dive track for specific sectors it would further increase the value.
60 or older;Female;United Kingdom;50 - 249 (medium);Real Estate;7;7;1200;3;5;4;4;3;Hybrid (in-person + virtual);2;The atmosphere exceeded my expectations. Well-organised, attentive staff and a high-calibre crowd made the day truly worthwhile.;Very promising. One company in particular aligned perfectly with our portfolio strategy and I intend to arrange a deeper due diligence meeting next week.;I would come back for the calibre of attendees alone. Adding a pre-event matchmaking tool would make the experience even more valuable.
50 - 59;Male;Other EU;1,000+ (enterprise);Financial Services;7;2;1050;6;3;3;4;5;Hybrid (in-person + virtual);5;The event had a professional yet relaxed ambiance. I appreciated the balance between structured sessions and open networking time.;Very promising. One company in particular aligned perfectly with our portfolio strategy and I intend to arrange a deeper due diligence meeting next week.;A more focused industry track and pre-scheduled one-on-one meetings would make me return. The overall format is already strong.
